userId,movieId,tag,date,sentiment,predicted_sentiment
2,89774,tom hardy,24-10-2015 19:33,Neutral,Neutral
2,89774,boxing story,24-10-2015 19:33,Neutral,Neutral
2,106782,martin scorsese,24-10-2015 19:30,Neutral,Neutral
2,106782,leonardo dicaprio,24-10-2015 19:30,Neutral,Neutral
2,106782,drugs,24-10-2015 19:30,Neutral,Neutral
2,60756,highly quotable,24-10-2015 19:29,Positive,Neutral
2,60756,funny,24-10-2015 19:29,Positive,Positive
2,89774,mma,24-10-2015 19:33,Neutral,Neutral
2,60756,will ferrell,24-10-2015 19:29,Neutral,Neutral
7,48516,way too long,25-01-2007 01:08,Negative,Neutral
18,144210,dumpster diving,09-02-2016 23:26,Neutral,Neutral
18,144210,sustainability,09-02-2016 23:27,Neutral,Neutral
18,1221,al pacino,26-04-2016 19:35,Neutral,Neutral
18,5995,holocaust,17-02-2016 18:57,Neutral,Neutral
18,5995,true story,17-02-2016 18:57,Positive,Positive
18,44665,twist ending,02-03-2016 19:51,Neutral,Neutral
18,52604,anthony hopkins,10-03-2016 22:58,Neutral,Neutral
18,52604,courtroom drama,10-03-2016 22:58,Neutral,Neutral
18,52604,twist ending,10-03-2016 22:58,Neutral,Neutral
18,88094,britpop,08-03-2016 13:41,Neutral,Neutral
18,88094,indie record label,08-03-2016 13:43,Neutral,Neutral
18,88094,music,08-03-2016 13:43,Neutral,Neutral
18,431,al pacino,01-05-2016 21:39,Neutral,Neutral
18,431,gangster,01-05-2016 21:39,Neutral,Neutral
18,431,mafia,01-05-2016 21:39,Neutral,Neutral
18,1221,mafia,26-04-2016 19:35,Neutral,Neutral
21,118985,painter,28-12-2014 22:24,Neutral,Neutral
21,1569,wedding,28-12-2014 22:23,Neutral,Neutral
21,1569,romantic comedy,28-12-2014 22:23,Neutral,Neutral
21,119141,bloody,28-12-2014 19:12,Negative,Neutral
49,109487,time-travel,25-04-2017 04:09,Neutral,Neutral
49,109487,sci-fi,25-04-2017 04:08,Neutral,Neutral
49,109487,black hole,25-04-2017 04:08,Negative,Negative
62,2953,sequel,06-05-2018 20:01,Neutral,Neutral
62,3114,animation,06-05-2018 20:01,Neutral,Neutral
62,3114,disney,06-05-2018 20:01,Neutral,Neutral
62,3114,funny,06-05-2018 20:01,Positive,Positive
62,3114,original,06-05-2018 20:01,Positive,Positive
62,3114,pixar,06-05-2018 20:01,Neutral,Neutral
62,3114,sequel,06-05-2018 20:01,Neutral,Neutral
62,3114,tom hanks,06-05-2018 20:02,Neutral,Neutral
62,3578,ancient rome,04-06-2018 22:48,Neutral,Neutral
62,3578,epic,04-06-2018 22:47,Positive,Positive
62,3578,history,04-06-2018 22:47,Neutral,Neutral
62,3578,imdb top 250,04-06-2018 22:48,Positive,Positive
62,3578,revenge,04-06-2018 22:48,Neutral,Neutral
62,3578,rome,04-06-2018 22:47,Neutral,Neutral
62,3578,russell crowe,04-06-2018 22:47,Neutral,Neutral
62,4223,ed harris,03-06-2018 11:21,Neutral,Neutral
62,4223,jude law,03-06-2018 11:20,Neutral,Neutral
62,4223,rachel weisz,03-06-2018 11:21,Neutral,Neutral
62,4223,sniper,03-06-2018 11:20,Neutral,Neutral
62,4223,world war ii,03-06-2018 11:21,Neutral,Neutral
62,5388,al pacino,29-06-2018 22:20,Neutral,Neutral
62,5388,atmospheric,29-06-2018 22:22,Neutral,Neutral
